timestamp,inlet,outlet,difference
1,2.16,2.052,0.108
2,3,2.85,0.15
3,2.83,2.6885,0.1415
4,3,2.85,0.15
5,3,2.85,0.15
6,2.83,2.6885,0.1415
7,2.83,2.6885,0.1415
8,2.66,2.527,0.133
9,3,2.85,0.15
10,2.83,2.6885,0.1415
11,2.5,2.375,0.125
12,2.33,2.2135,0.1165
13,2,1.9,0.1
14,2,1.9,0.1
15,2,1.9,0.1
16,1.83,1.7385,0.0915
17,1.67,1.5865,0.0835
18,1.67,1.5865,0.0835
19,2,1.9,0.1
20,1.83,1.7385,0.0915
21,1.83,1.7385,0.0915
22,2,1.9,0.1
23,1.83,1.7385,0.0915
24,3,2.85,0.15
25,3.83,3.6385,0.1915
26,3.5,3.325,0.175
27,3.5,3.325,0.175
28,3.33,3.1635,0.1665
29,3.33,3.1635,0.1665
30,0.67,0.6365,0.0335
31,0,0,0
32,0.17,0.1615,0.0085
33,0.5,0.475,0.025
34,1.17,1.1115,0.0585
35,1.33,1.2635,0.0665
36,1,0.95,0.05
37,0.33,0.3135,0.0165
38,0.17,0.1615,0.0085
39,0.5,0.475,0.025
40,0.33,0.3135,0.0165
41,0.33,0.3135,0.0165
42,1,0.95,0.05
43,1.33,1.2635,0.0665
44,1,0.95,0.05
45,1.17,1.1115,0.0585
46,1.33,1.2635,0.0665
47,1.17,1.1115,0.0585
48,1.33,1.2635,0.0665
49,1.33,1.2635,0.0665
50,1.33,1.2635,0.0665
51,1.5,1.425,0.075
52,1.5,1.425,0.075
53,0.17,0.1615,0.0085
54,2,1.9,0.1
55,0.83,0.7885,0.0415
56,0.17,0.1615,0.0085
57,0.33,0.3135,0.0165
58,0.33,0.3135,0.0165
59,0.67,0.6365,0.0335
60,0.5,0.475,0.025
61,0.5,0.475,0.025
62,0.5,0.475,0.025
63,0.33,0.3135,0.0165
64,0.5,0.475,0.025
65,0.5,0.475,0.025
66,0.5,0.475,0.025
67,0.67,0.6365,0.0335
68,0.5,0.475,0.025
69,0.5,0.475,0.025
70,0.33,0.3135,0.0165
71,0.33,0.3135,0.0165
72,0.5,0.475,0.025
73,0.83,0.7885,0.0415
74,0.83,0.7885,0.0415
75,0.33,0.3135,0.0165
76,0.5,0.475,0.025
77,0.5,0.475,0.025
78,0.67,0.6365,0.0335
79,0.5,0.475,0.025
80,0.67,0.6365,0.0335
81,0.67,0.6365,0.0335
82,0.5,0.475,0.025
83,0.5,0.475,0.025
84,0.5,0.475,0.025
85,0.5,0.475,0.025
86,0.5,0.475,0.025
87,0.67,0.6365,0.0335
88,0.67,0.6365,0.0335
89,0.5,0.475,0.025
90,0.67,0.6365,0.0335
91,0.67,0.6365,0.0335
92,0.5,0.475,0.025
93,0.5,0.475,0.025
94,0.67,0.6365,0.0335
95,0.5,0.475,0.025
96,0.5,0.475,0.025
97,0.5,0.475,0.025
98,0.5,0.475,0.025
99,0.33,0.3135,0.0165
100,0.83,0.7885,0.0415
101,0.67,0.6365,0.0335
102,0.33,0.3135,0.0165
103,1.17,1.1115,0.0585
104,0.17,0.1615,0.0085
105,1.5,1.425,0.075
106,2.83,2.6885,0.1415
107,3,2.85,0.15
108,2.66,2.527,0.133
109,1.78,1.691,0.089
110,3,2.85,0.15
111,3,2.85,0.15
112,3.16,3.002,0.158
113,3.16,3.002,0.158
114,3.33,3.1635,0.1665
115,3.5,3.325,0.175
116,3.5,3.325,0.175
117,3.5,3.325,0.175
118,3.66,3.477,0.183
119,3.5,3.325,0.175
120,3.66,3.477,0.183
121,3.66,3.477,0.183
122,3.5,3.325,0.175
123,3.66,3.477,0.183
124,3.66,3.477,0.183
125,3.66,3.477,0.183
126,3.66,3.477,0.183
127,3.66,3.477,0.183
128,3.66,3.477,0.183
129,3.5,3.325,0.175
130,2.23,2.1185,0.1115
131,3.5,3.325,0.175
132,3.66,3.477,0.183
133,3.5,3.325,0.175
134,3.16,3.002,0.158
135,3,2.85,0.15
136,2.83,2.6885,0.1415
137,3,2.85,0.15
138,2.83,2.6885,0.1415
139,3,2.85,0.15
140,1.85,1.7575,0.0925
